task,alpha_ref,bravo_ref,charlie_ref,delta_ref,echo_ref
alpha_repeat-1,3.0210817,-0.25889534,0.15146352,0.67613703,0.33427918
alpha_repeat-2,4.4090977,2.6517067,1.1738888,2.3374324,1.943111
bravo_repeat-1,0.5218411,1.207469,0.17441204,0.77645016,0.6356434
bravo_repeat-2,0.46518415,1.9749168,0.029757159,0.49242872,-0.39770445
charlie_repeat-1,0.5023852,0.6385823,2.8976352,1.8530172,1.3557761
charlie_repeat-2,1.6838819,0.92826784,2.8494925,1.4251449,2.6479383
delta_repeat-1,0.9580437,1.7435292,1.4999651,3.0509098,3.198681
delta_repeat-2,1.1624281,0.3902747,2.6305737,1.8679746,0.9448922
echo_repeat-1,3.0938663,1.6789333,0.93701524,1.09924,4.177301
echo_repeat-2,0.018079061,0.68320227,2.3904176,0.54320806,2.3312585
