subject,beam_width,WER_score,BLEU_score,METEOR_score,BERT_score
1,100,0.9380442892745994,0.23329489030129763,0.1752550022536282,0.8076322
2,100,0.9381656288758635,0.2347559217594566,0.16500844866099626,0.8081788
3,100,0.926559233627294,0.25134789038754324,0.18078536240392284,0.8114522
1,200,0.9433695430296157,0.2274254386329718,0.164688325631107,0.80714226
2,200,0.9404368964687801,0.2374957607363284,0.16943283002335233,0.8095943
3,200,0.9233314640111009,0.24658439092915768,0.18061587389874967,0.81201017
1,400,0.9366099831307898,0.2285718591067094,0.173302454371138,0.8079425
2,400,0.9289301480014898,0.24200913616453418,0.17056512594421833,0.8088446
3,400,0.9291219543992338,0.24515230607619035,0.17548008090677,0.8127976
1,800,0.9392556580896266,0.23668449227445523,0.17463564528225592,0.80972034
2,800,0.9411154990340378,0.23577587691307572,0.16471884668400222,0.8078194
3,800,0.9257481937381987,0.23946322675484621,0.17884690306902556,0.8127593
1,1600,0.9318734887808167,0.2356603902818351,0.17537939283133372,0.80979115
2,1600,0.9360608142485742,0.24304655954656423,0.1682286541546581,0.8102154
3,1600,0.9309230167834408,0.23493809827834491,0.17196489545934415,0.8130771
