task,alpha_ref,bravo_ref,charlie_ref,delta_ref,echo_ref
alpha_repeat-1,0.90798074,0.062857,-0.537885,-0.269528,0.38136163
alpha_repeat-2,4.070785,1.4448061,1.2871584,0.30043185,1.7418883
bravo_repeat-1,-0.03377433,2.5481448,0.9399106,0.6660968,0.1296505
bravo_repeat-2,0.22611284,2.9080083,1.0787566,0.6043448,-0.26968998
charlie_repeat-1,0.53527516,1.8187455,4.2179675,2.4940915,0.8263247
charlie_repeat-2,1.1611863,1.90771,3.997573,1.6903611,1.859481
delta_repeat-1,-0.029496599,-0.14639474,0.22402403,3.8690677,0.9018748
delta_repeat-2,1.0881616,1.0668548,1.9284825,3.8314843,2.3585865
echo_repeat-1,0.889443,-1.0120975,0.92203486,0.5802977,1.5435488
echo_repeat-2,2.0562344,0.9474092,1.927527,1.2757066,4.52772
