task,alpha_ref,bravo_ref,charlie_ref,delta_ref,echo_ref
alpha_repeat-1,0.93651783,-0.44860625,-0.80035275,-0.11536122,-0.31158668
alpha_repeat-2,1.5905066,0.89644146,0.2059956,0.8079268,0.70548755
bravo_repeat-1,-0.40744254,1.1867886,-0.46800172,-1.0179745,-0.6516653
bravo_repeat-2,-1.2704262,1.7582695,0.6388633,-0.77123153,-0.48947117
charlie_repeat-1,0.16273007,0.90296274,3.315383,2.2414434,1.5600142
charlie_repeat-2,0.700331,1.5566487,2.6772645,1.2382958,0.82031816
delta_repeat-1,0.2501842,1.3726767,0.9178626,3.4308593,0.92004126
delta_repeat-2,1.2121207,0.31977946,0.9460022,1.89628,0.97073454
echo_repeat-1,1.180571,-0.5982216,0.7318904,0.4356211,3.0263171
echo_repeat-2,2.1913416,2.3645966,1.3866403,1.1021509,2.7352788
