task,alpha_ref,bravo_ref,charlie_ref,delta_ref,echo_ref
alpha_repeat-1,0.79452634,0.80321175,0.7825166,0.79707265,0.7837019
alpha_repeat-2,0.80896175,0.8073571,0.7867801,0.7999331,0.78493583
bravo_repeat-1,0.79915184,0.81693256,0.78913313,0.8028974,0.7837677
bravo_repeat-2,0.80011266,0.81690776,0.7885347,0.805473,0.78130966
charlie_repeat-1,0.79806787,0.81116074,0.80476433,0.811174,0.7865843
charlie_repeat-2,0.797936,0.81138146,0.80655533,0.8100301,0.78482455
delta_repeat-1,0.7950625,0.8092444,0.7858298,0.81534904,0.7880732
delta_repeat-2,0.79591817,0.8068408,0.7921549,0.8218741,0.7849811
echo_repeat-1,0.79613143,0.80239105,0.78568107,0.8062616,0.7859192
echo_repeat-2,0.7988172,0.8067425,0.790438,0.80609965,0.79416203
