task,alpha_ref,bravo_ref,charlie_ref,delta_ref,echo_ref
alpha_repeat-1,0.06190453,-0.52438486,-0.73659664,-0.69119906,0.9748399
alpha_repeat-2,4.606549,0.6482121,0.41395944,-0.29393837,1.3705074
bravo_repeat-1,1.5989369,3.4985328,1.1132655,0.38512743,0.8445026
bravo_repeat-2,1.9414178,3.5260808,1.03775,0.92505133,-0.037258737
charlie_repeat-1,1.2885122,1.7504421,6.056946,2.1877034,2.0610046
charlie_repeat-2,1.1926028,1.9158069,6.139088,1.8624843,1.3181238
delta_repeat-1,0.08001542,1.2409014,0.36388797,2.8163595,2.6381955
delta_repeat-2,0.5602968,0.48207226,2.16167,4.0496655,1.4366022
echo_repeat-1,0.6531299,-0.9409102,0.29577038,1.0820295,1.6866415
echo_repeat-2,1.4726858,0.42192465,1.6606824,1.0385567,4.999512
